chr	start	end	CpG	2-O_S1_R1_001-N	2-O_S1_R1_001-X	2-R_S2_R1_001-N	2-R_S2_R1_001-X	4-LL_S4_R1_001-N	4-LL_S4_R1_001-X	4-L_S3_R1_001-N	4-L_S3_R1_001-X	5-O_S2_R1_001-N	5-O_S2_R1_001-X	5-RR_S8_R1_001-N	5-RR_S8_R1_001-X	5-R_S7_R1_001-N	5-R_S7_R1_001-X	6-LL_S6_R1_001-N	6-LL_S6_R1_001-X	6-L_S5_R1_001-N	6-L_S5_R1_001-X	7-L_S1_R1_001-N	7-L_S1_R1_001-X
chr8	11561608	11562001	22	20	18	22	20	36	36	NA	NA	20	20	30	30	36	33	33	33	NA	NA	20	19
chr8	11633231	11633346	4	NA	NA	NA	NA	NA	NA	21	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	11635721	11635774	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	6	NA	NA	NA	NA
chr8	11758148	11758201	8	NA	NA	NA	NA	NA	NA	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	12383229	12383433	8	NA	NA	NA	NA	NA	NA	NA	NA	26	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	12384068	12384183	9	NA	NA	NA	NA	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	12386067	12386368	16	NA	NA	NA	NA	NA	NA	45	14	20	16	NA	NA	NA	NA	NA	NA	44	7	NA	NA
chr8	12391634	12391786	13	NA	NA	NA	NA	34	19	NA	NA	NA	NA	31	15	NA	NA	NA	NA	21	3	NA	NA
chr8	12396413	12396767	30	32	5	NA	NA	30	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	3	46	8
chr8	12477587	12477663	6	NA	NA	NA	NA	NA	NA	22	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	12478136	12478199	6	NA	NA	NA	NA	NA	NA	NA	NA	21	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	12671523	12671808	12	NA	NA	NA	NA	20	8	22	5	NA	NA	NA	NA	21	7	25	13	NA	NA	NA	NA
chr8	13104593	13104931	23	NA	NA	NA	NA	58	9	NA	NA	NA	NA	30	6	NA	NA	30	16	52	13	NA	NA
chr8	13287348	13287421	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	5	NA	NA	NA	NA	NA	NA
chr8	13287674	13287927	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	7	NA	NA	26	9	NA	NA
chr8	13493941	13494000	10	NA	NA	NA	NA	NA	NA	35	6	NA	NA	NA	NA	NA	NA	NA	NA	23	6	NA	NA
chr8	13674736	13674869	6	NA	NA	NA	NA	20	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	13786204	13786244	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	10	NA	NA
chr8	13940686	13940763	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	26
chr8	13971637	13971871	11	24	24	NA	NA	NA	NA	32	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	13974146	13974241	8	20	10	NA	NA	NA	NA	22	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	14090214	14090329	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	2	NA	NA
chr8	14090706	14090818	9	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	23	0	NA	NA
chr8	14095995	14096237	18	NA	NA	NA	NA	22	8	NA	NA	NA	NA	21	15	NA	NA	44	26	NA	NA	NA	NA
chr8	15026039	15026317	8	NA	NA	NA	NA	NA	NA	NA	NA	20	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	15138825	15138907	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	4	NA	NA	NA	NA	NA	NA	NA	NA
chr8	15519869	15519994	11	56	24	46	20	74	24	40	16	42	12	59	31	56	26	51	10	56	26	95	49
chr8	17535470	17535517	4	NA	NA	NA	NA	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	17652205	17652215	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA
chr8	18845956	18845991	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	4	NA	NA	NA	NA	NA	NA
chr8	19682575	19682634	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	16
chr8	19684253	19684391	9	30	25	25	25	30	29	29	27	NA	NA	NA	NA	23	21	20	17	22	17	NA	NA
chr8	19703154	19703315	5	24	7	NA	NA	NA	NA	26	8	NA	NA	NA	NA	21	7	NA	NA	30	11	NA	NA
chr8	19703470	19703579	5	23	16	NA	NA	24	20	24	19	21	14	20	11	31	25	NA	NA	23	11	27	16
chr8	19705499	19705656	5	NA	NA	NA	NA	29	23	24	23	NA	NA	NA	NA	NA	NA	NA	NA	32	29	NA	NA
chr8	19707025	19707169	4	20	19	NA	NA	32	29	NA	NA	NA	NA	NA	NA	NA	NA	23	23	NA	NA	NA	NA
chr8	19709683	19709697	3	44	43	65	62	56	55	32	24	61	56	43	42	41	39	48	45	34	31	59	56
chr8	19711357	19711378	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA
chr8	19711605	19711719	4	NA	NA	22	20	21	21	24	21	NA	NA	22	20	27	23	NA	NA	NA	NA	22	20
chr8	19719658	19719681	3	NA	NA	NA	NA	23	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	19724318	19724388	3	NA	NA	NA	NA	20	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	19759546	19759582	3	152	141	126	111	137	124	144	122	131	120	153	137	149	136	131	114	160	136	123	109
chr8	19761727	19761864	5	24	14	NA	NA	29	17	34	26	25	16	26	19	25	19	30	20	NA	NA	22	15
chr8	19784424	19784858	27	87	24	118	22	133	23	151	35	151	31	138	25	97	19	165	38	84	16	121	14
chr8	19784860	19785294	44	217	97	185	101	172	75	158	59	197	101	228	73	232	109	159	99	205	85	171	63
chr8	19855376	19855451	4	32	27	39	36	29	28	NA	NA	36	32	52	43	26	24	NA	NA	36	33	25	23
chr8	19876948	19877082	11	132	72	70	65	45	20	89	50	65	45	52	45	90	64	71	37	74	38	53	32
chr8	19892457	19892865	37	240	79	178	60	222	97	196	67	145	61	193	80	160	53	211	81	237	88	150	40
chr8	19892872	19893283	31	82	22	45	14	86	34	151	61	85	21	78	25	104	35	80	41	76	25	120	34
chr8	19898474	19898551	5	NA	NA	31	28	32	31	27	21	NA	NA	20	19	NA	NA	21	19	34	32	27	23
chr8	19922485	19922700	6	36	34	45	42	42	39	50	47	37	33	35	31	48	45	44	41	49	44	49	47
chr8	19929490	19929573	4	27	24	30	28	39	36	31	28	32	29	34	31	31	25	40	34	32	28	33	30
chr8	19935861	19935924	3	28	9	27	5	NA	NA	NA	NA	NA	NA	21	7	21	8	21	4	39	10	23	3
chr8	19963989	19964124	5	27	24	NA	NA	29	22	34	24	25	19	43	33	27	19	31	22	33	26	27	20
chr8	19970431	19970524	4	NA	NA	32	30	22	19	22	21	24	21	42	36	37	32	29	26	20	18	24	22
chr8	19973872	19974242	10	45	35	47	39	63	55	48	39	38	34	75	66	51	42	47	42	50	45	43	40
chr8	19976603	19976758	5	NA	NA	27	25	29	29	NA	NA	NA	NA	28	27	35	30	NA	NA	20	17	NA	NA
chr8	19976985	19977105	3	37	32	49	45	52	51	32	30	35	32	32	28	28	28	29	23	33	32	35	33
chr8	19982368	19982798	11	41	39	66	54	73	59	41	33	30	21	53	47	69	56	29	26	63	53	57	45
chr8	19982912	19982939	3	29	13	34	11	33	25	40	21	34	15	40	13	28	12	20	12	30	11	35	8
chr8	19985005	19985209	4	NA	NA	NA	NA	23	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11
chr8	19985665	19985846	4	NA	NA	NA	NA	22	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	20004198	20004336	6	22	20	NA	NA	20	16	NA	NA	21	18	NA	NA	NA	NA	NA	NA	23	18	27	20
chr8	20013011	20013130	7	24	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	20	NA	NA
chr8	20019790	20019962	22	264	112	176	91	255	125	285	124	157	89	259	115	179	110	210	92	210	103	185	51
chr8	20020080	20020307	24	89	24	76	25	91	22	104	44	90	44	93	35	81	20	122	41	84	28	96	30
chr8	20020339	20020596	16	111	40	129	28	165	22	220	40	144	54	129	16	153	40	122	22	173	37	144	31
chr8	20025936	20026014	5	NA	NA	NA	NA	NA	NA	22	20	NA	NA	NA	NA	23	19	NA	NA	NA	NA	NA	NA
chr8	23170865	23170921	6	NA	NA	NA	NA	NA	NA	24	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	23276437	23276829	32	21	6	NA	NA	40	6	33	20	NA	NA	89	6	52	5	67	16	31	5	22	13
chr8	23295953	23296000	7	29	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	23508626	23508705	9	NA	NA	NA	NA	20	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	5	NA	NA
chr8	23619533	23619567	5	NA	NA	NA	NA	NA	NA	NA	NA	25	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	23703661	23703955	12	NA	NA	NA	NA	NA	NA	39	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	23817066	23817206	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	8	NA	NA	NA	NA	NA	NA	NA	NA
chr8	23868053	23868113	5	NA	NA	NA	NA	NA	NA	24	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	23969369	23969398	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	1	NA	NA	NA	NA	NA	NA
chr8	23972644	23973036	10	NA	NA	20	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24145843	24146043	6	NA	NA	NA	NA	NA	NA	20	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24205607	24205772	7	NA	NA	NA	NA	NA	NA	NA	NA	25	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24260374	24260482	10	NA	NA	23	1	NA	NA	27	6	NA	NA	29	4	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24267939	24268072	11	NA	NA	NA	NA	NA	NA	NA	NA	40	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24268173	24268338	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	0	24	6	NA	NA	NA	NA	NA	NA
chr8	24319025	24319178	9	NA	NA	NA	NA	NA	NA	NA	NA	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24367657	24367903	14	NA	NA	21	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	24522358	24522676	18	33	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	11	30	16
chr8	24672970	24672998	8	NA	NA	NA	NA	NA	NA	40	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	25507841	25507908	5	NA	NA	NA	NA	NA	NA	25	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	25549385	25549486	4	26	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	25588962	25588976	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	28
chr8	25664941	25665328	15	NA	NA	NA	NA	NA	NA	24	9	NA	NA	NA	NA	NA	NA	28	16	21	3	NA	NA
chr8	25687669	25687714	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA
chr8	26212012	26212147	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	2	NA	NA	NA	NA
chr8	26337452	26337504	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	23
chr8	26350865	26350889	7	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	26351231	26351314	13	NA	NA	23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	12	NA	NA
chr8	26601509	26601535	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA	NA
chr8	26653694	26653734	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	16	NA	NA	NA	NA	NA	NA
chr8	26666378	26666630	11	NA	NA	NA	NA	NA	NA	21	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	26711742	26712004	10	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	26830767	26831089	11	NA	NA	23	2	28	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	27044924	27045141	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	20	NA	NA
chr8	27143927	27144153	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	23	NA	NA	NA	NA	NA	NA	NA	NA
chr8	27230014	27230120	17	NA	NA	NA	NA	NA	NA	NA	NA	35	15	NA	NA	NA	NA	33	19	43	20	NA	NA
chr8	27268833	27268896	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	0	NA	NA	NA	NA	NA	NA	NA	NA
chr8	28049475	28049501	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr8	28086789	28087140	13	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA	23	4	NA	NA
chr8	28087341	28087448	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	0
chr8	28088686	28089093	21	NA	NA	NA	NA	NA	NA	NA	NA	46	2	58	17	NA	NA	29	15	NA	NA	39	9
chr8	28089954	28090237	22	NA	NA	20	19	35	32	34	30	21	17	47	46	NA	NA	45	38	NA	NA	46	38
chr8	28196585	28196704	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	17	NA	NA	NA	NA	NA	NA
chr8	28197301	28197514	12	NA	NA	27	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	28338203	28338270	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	16
chr8	28371017	28371122	10	31	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	30330430	30330483	5	NA	NA	NA	NA	NA	NA	NA	NA	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	32260690	32260837	13	NA	NA	37	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	32278480	32278944	13	NA	NA	30	18	NA	NA	NA	NA	25	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	32425956	32426053	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12	NA	NA	NA	NA	NA	NA	NA	NA
chr8	33120364	33120398	11	44	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	33994538	33994573	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	3	NA	NA	NA	NA	NA	NA	NA	NA
chr8	34710870	34711074	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	0	NA	NA
chr8	34825499	34825592	4	26	19	22	17	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	34910104	34910348	7	NA	NA	NA	NA	20	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	35143087	35143376	11	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	4	NA	NA	NA	NA
chr8	35187250	35187280	5	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	35390933	35391093	10	NA	NA	31	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	35460755	35460769	7	35	30	NA	NA	NA	NA	37	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	35868576	35868641	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	1
chr8	35871188	35871233	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	17	NA	NA
chr8	35871355	35871493	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	10	37	13	NA	NA	NA	NA
chr8	36027847	36028074	7	NA	NA	NA	NA	36	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	36257375	36257427	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA
chr8	36364426	36364473	3	NA	NA	NA	NA	NA	NA	20	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	36439552	36439791	18	NA	NA	NA	NA	52	11	NA	NA	NA	NA	NA	NA	20	7	NA	NA	NA	NA	NA	NA
chr8	36650684	36650781	9	NA	NA	NA	NA	23	12	NA	NA	NA	NA	NA	NA	NA	NA	23	10	NA	NA	20	10
chr8	36788440	36788520	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	3	NA	NA	NA	NA	NA	NA	NA	NA
chr8	37079537	37079664	9	NA	NA	NA	NA	NA	NA	30	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	37311310	37311386	8	NA	NA	NA	NA	NA	NA	32	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	37520876	37520926	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	30
chr8	37596126	37596245	8	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	16	NA	NA
chr8	37795587	37795733	8	NA	NA	NA	NA	NA	NA	26	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	39723414	39723472	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA
chr8	41393763	41393802	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	21	NA	NA	NA	NA	NA	NA	NA	NA
chr8	41739358	41739389	5	22	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	41982348	41982521	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	16	NA	NA
chr8	42023473	42023741	8	NA	NA	22	22	NA	NA	21	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	42048677	42048780	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	2
chr8	42219324	42219405	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	1	NA	NA	NA	NA
chr8	42220366	42220520	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	5	NA	NA
chr8	42324938	42324999	10	NA	NA	NA	NA	NA	NA	NA	NA	30	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	42326257	42326436	10	23	7	NA	NA	NA	NA	NA	NA	NA	NA	32	8	39	5	NA	NA	NA	NA	NA	NA
chr8	42459683	42459785	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	21	NA	NA
chr8	44445451	44445489	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	24
chr8	46020179	46020226	7	NA	NA	NA	NA	31	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	46022865	46023060	9	NA	NA	NA	NA	NA	NA	NA	NA	35	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	46035920	46036179	14	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA	NA	NA	31	30	NA	NA	29	27
chr8	46036986	46037043	9	NA	NA	NA	NA	36	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	46108768	46109053	14	NA	NA	NA	NA	20	19	26	26	NA	NA	30	30	NA	NA	NA	NA	NA	NA	NA	NA
chr8	46109325	46109468	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	29	29	NA	NA	NA	NA	NA	NA
chr8	46129736	46129802	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA
chr8	46136577	46136753	18	NA	NA	38	38	NA	NA	NA	NA	41	40	NA	NA	NA	NA	27	26	20	20	NA	NA
chr8	46148817	46148901	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	19	NA	NA	NA	NA	NA	NA	NA	NA
chr8	47294706	47294799	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	6	NA	NA	NA	NA
chr8	47327572	47327725	5	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	47380110	47380233	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	0	NA	NA	22	6	NA	NA
chr8	47556050	47556157	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	2	36	1	NA	NA	NA	NA	NA	NA
chr8	47822900	47823006	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	30	NA	NA	NA	NA	NA	NA	NA	NA
chr8	47825247	47825526	10	NA	NA	30	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	48372536	48372820	12	NA	NA	NA	NA	NA	NA	NA	NA	24	17	24	19	NA	NA	NA	NA	25	7	NA	NA
chr8	48373188	48373331	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	29	NA	NA	24	16	26	17	44	21
chr8	48499704	48499746	7	NA	NA	21	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	48633163	48633287	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21
chr8	48717986	48718013	5	NA	NA	23	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	48718124	48718164	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	19	NA	NA	NA	NA
chr8	48761294	48761452	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	8
chr8	48775991	48776251	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	0	NA	NA
chr8	48798480	48798751	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	5	NA	NA	NA	NA	NA	NA
chr8	48994183	48994294	8	NA	NA	23	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49060497	49060531	5	22	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49075402	49075576	15	NA	NA	NA	NA	NA	NA	NA	NA	50	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49075723	49075774	7	NA	NA	NA	NA	NA	NA	NA	NA	21	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49081089	49081211	6	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49182808	49182834	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49317913	49318109	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr8	49321454	49321525	7	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49641047	49641277	20	34	0	33	11	NA	NA	22	5	NA	NA	NA	NA	NA	NA	NA	NA	47	9	NA	NA
chr8	49902442	49902562	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	23	NA	NA	NA	NA	NA	NA
chr8	49929011	49929055	7	NA	NA	21	0	21	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	49929943	49930182	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	1	NA	NA	NA	NA	NA	NA	NA	NA
chr8	52001494	52001607	15	33	16	20	13	NA	NA	NA	NA	47	0	23	0	33	14	NA	NA	33	14	NA	NA
chr8	55162506	55162559	7	NA	NA	NA	NA	NA	NA	21	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	56198145	56198206	5	26	19	23	18	29	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	56198940	56199020	6	24	22	32	28	43	42	30	29	48	45	45	43	46	44	60	58	54	49	38	35
chr8	56199415	56199468	3	28	24	25	21	29	26	27	22	32	32	41	33	34	32	27	26	NA	NA	23	19
chr8	56201786	56201962	6	39	15	35	9	29	6	44	18	29	9	38	7	35	12	29	6	44	18	30	10
chr8	56205581	56205628	4	27	17	46	31	46	34	29	22	21	17	22	14	29	21	39	30	38	29	37	25
chr8	56206018	56206093	3	43	40	33	33	38	35	31	29	34	30	41	38	26	24	35	32	35	31	38	36
chr8	57981996	57982136	5	NA	NA	36	32	40	37	21	20	27	26	23	20	28	24	26	22	38	32	NA	NA
chr8	57988763	57988838	4	NA	NA	NA	NA	23	19	NA	NA	NA	NA	28	27	NA	NA	NA	NA	NA	NA	NA	NA
chr8	57997580	57997651	4	26	22	35	34	21	19	58	54	29	25	44	43	43	41	35	32	37	36	32	27
chr8	57997821	57997930	6	33	31	39	26	44	40	25	22	22	17	24	19	NA	NA	53	47	NA	NA	33	26
